,Suburb,Address,Rooms,Housewithrooms,Housewithrooms1,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
40,Alphington,136A Fulham Rd,3,House,house with 3,1492000,S,Jellis,4/03/2017,6.4,3078,3,2,2,411,,,Darebin,-37.7713,145.0279,Northern Metropolitan,2211
41,Alphington,44 Shiers St,4,House,house with 4,1717500,S,Collins,8/10/2016,6.4,3078,4,2,1,599,203,1925,Darebin,-37.7717,145.031,Northern Metropolitan,2211
42,Alphington,83 Fulham Rd,5,House,house with 5,2840000,S,Nelson,12/06/2016,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,Northern Metropolitan,2211
43,Alphington,3/19 Harker St,2,Unit,unit with 2,525500,S,Miles,12/11/2016,6.4,3078,2,1,1,88,60,1960,Darebin,-37.7791,145.0306,Northern Metropolitan,2211
44,Alphington,4/2 Miller St,2,Townhouse,townhouse with 2,805000,S,Miles,12/11/2016,6.4,3078,2,2,3,155,140,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
45,Alphington,2/5 Yarana Rd,2,Unit,unit with 2,465000,S,McGrath,12/11/2016,6.4,3078,2,1,1,0,,,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
46,Alphington,815 Heidelberg Rd,3,House,house with 3,2000000,PI,hockingstuart,15/10/2016,6.4,3078,3,3,2,686,,,Darebin,-37.78,145.0341,Northern Metropolitan,2211
47,Alphington,44 Naroon Rd,3,House,house with 3,1540000,S,Nelson,16/04/2016,6.4,3078,3,1,2,592,,,Darebin,-37.7755,145.0288,Northern Metropolitan,2211
48,Alphington,3/98 Grange Rd,2,Unit,unit with 2,820000,S,Nelson,18/03/2017,6.4,3078,2,1,1,183,,,Darebin,-37.7747,145.0264,Northern Metropolitan,2211
49,Alphington,10 Bennett St,4,House,house with 4,1830000,S,Nelson,19/11/2016,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
50,Alphington,38 Bennett St,4,House,house with 4,2100000,S,Nelson,19/11/2016,6.4,3078,4,2,2,575,271,2008,Darebin,-37.7723,145.0319,Northern Metropolitan,2211
51,Alphington,2c Hamilton St,3,House,house with 3,865000,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
52,Alphington,5/5 Yarana Rd,2,Unit,unit with 2,390000,VB,Nelson,22/05/2016,6.4,3078,2,1,1,0,60,1960,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
53,Alphington,7/7 Chandler Hwy,2,Townhouse,townhouse with 0,650000,SP,Brace,24/09/2016,6.4,3078,0,1,0,0,,,Yarra,-37.7848,145.025,Northern Metropolitan,2211
54,Alphington,1/14 Fulham Rd,2,Unit,unit with 2,512000,S,Love,25/02/2017,6.4,3078,2,1,1,0,61,1965,Darebin,-37.7805,145.0262,Northern Metropolitan,2211
55,Alphington,22 Lowther St,3,House,house with 3,1165000,S,Barry,27/06/2016,6.4,3078,3,1,2,979,,,Yarra,-37.7792,145.029,Northern Metropolitan,2211
56,Alphington,11 Margaret Gr,4,House,house with 4,1900000,SP,McGrath,27/11/2016,6.4,3078,4,2,2,556,272,1930,Yarra,-37.7844,145.0225,Northern Metropolitan,2211
57,Alphington,6 Naroon Rd,3,House,house with 3,1485000,SP,McGrath,28/08/2016,6.4,3078,3,0,0,597,,,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
58,Alphington,42 Shiers St,4,House,house with 4,1950000,S,Jellis,30/07/2016,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
59,Brunswick,8/55 De Carle St,2,Unit,unit with 2,428000,S,Brad,3/09/2016,5.2,3056,2,1,2,0,,1970,Moreland,-37.7593,144.9652,Northern Metropolitan,11918
60,Brunswick,234 Victoria St,2,House,house with 2,1026000,S,Nelson,3/09/2016,5.2,3056,2,1,0,225,108,1905,Moreland,-37.7676,144.9665,Northern Metropolitan,11918
61,Brunswick,9 Blair St,4,House,house with 4,1802500,S,Jellis,3/12/2016,5.2,3056,4,3,1,238,93,1910,Moreland,-37.7713,144.9643,Northern Metropolitan,11918
62,Brunswick,25 Hardy St,4,House,house with 4,1500000,VB,Nelson,3/12/2016,5.2,3056,4,3,1,365,209,1890,Moreland,-37.7624,144.9671,Northern Metropolitan,11918
63,Brunswick,29 Stewart St,4,House,house with 4,2230000,S,Nelson,4/03/2017,5.2,3056,4,2,3,851,287,1940,Moreland,-37.7637,144.9662,Northern Metropolitan,11918
64,Brunswick,1/182 Albion St,3,House,house with 3,1050000,SP,hockingstuart,4/06/2016,5.2,3056,3,1,2,264,,,Moreland,-37.7611,144.9644,Northern Metropolitan,11918
65,Brunswick,11/97 Brickworks Dr,2,Unit,unit with 2,410000,S,Ray,4/06/2016,5.2,3056,2,1,1,0,66,2000,Moreland,-37.7695,144.9528,Northern Metropolitan,11918
66,Brunswick,9/15 De Carle St,1,Unit,unit with 1,272500,PI,Walshe,4/06/2016,5.2,3056,1,1,1,0,40,1970,Moreland,-37.762,144.9647,Northern Metropolitan,11918
67,Brunswick,2/3 Donald St,3,House,house with 3,680000,PI,Nelson,4/06/2016,5.2,3056,3,3,1,81,100,2016,Moreland,-37.7575,144.9647,Northern Metropolitan,11918
68,Brunswick,3/9 Austin Tce,2,Unit,unit with 2,400000,S,Jellis,6/08/2016,5.2,3056,2,1,1,0,61,1970,Moreland,-37.7608,144.968,Northern Metropolitan,11918
69,Brunswick,77 Blyth St,3,House,house with 3,950000,SP,Jellis,6/08/2016,5.2,3056,3,1,0,170,96,1910,Moreland,-37.7661,144.9691,Northern Metropolitan,11918
70,Brunswick,314 Barkly St,3,House,house with 3,1310000,PI,Nelson,7/05/2016,5.2,3056,3,2,2,426,,1880,Moreland,-37.7759,144.9578,Northern Metropolitan,11918
71,Brunswick,5/185 Brunswick Rd,4,Townhouse,townhouse with 4,860000,PI,Nelson,7/05/2016,5.2,3056,4,2,1,95,97,,Moreland,-37.7772,144.9653,Northern Metropolitan,11918
72,Brunswick,141 Gold St,2,House,house with 2,845500,S,Nelson,7/05/2016,5.2,3056,2,1,1,179,90,1890,Moreland,-37.7742,144.9542,Northern Metropolitan,11918
73,Brunswick,143 Gold St,2,House,house with 2,860000,S,Nelson,7/05/2016,5.2,3056,2,1,1,181,,1910,Moreland,-37.7742,144.9541,Northern Metropolitan,11918
74,Brunswick,3/4 Mitchell St,2,Townhouse,townhouse with 2,605000,PI,Jellis,7/05/2016,5.2,3056,2,1,1,0,78,2009,Moreland,-37.7588,144.9646,Northern Metropolitan,11918
75,Brunswick,13 Percy St,3,House,house with 3,1055000,S,Nelson,7/05/2016,5.2,3056,3,1,1,324,,1930,Moreland,-37.7653,144.9586,Northern Metropolitan,11918
76,Brunswick,9/33 Staley St,2,Unit,unit with 2,445000,S,Walshe,7/05/2016,5.2,3056,2,1,1,0,61,1975,Moreland,-37.7643,144.9638,Northern Metropolitan,11918
77,Brunswick,1/263 Albion St,2,Unit,unit with 2,659500,S,Walshe,7/11/2016,5.2,3056,2,1,1,100,85,1970,Moreland,-37.7601,144.9581,Northern Metropolitan,11918
78,Brunswick,6/153 Barkly St,2,Unit,unit with 2,600000,S,Nelson,7/11/2016,5.2,3056,2,1,1,0,75,2011,Moreland,-37.777,144.9703,Northern Metropolitan,11918
79,Brunswick,21/10 Breese St,3,Unit,unit with 3,627000,S,Nelson,7/11/2016,5.2,3056,3,2,2,0,,,Moreland,-37.7634,144.9616,Northern Metropolitan,11918
80,Brunswick,79 Hope St,4,House,house with 4,1450000,S,Jellis,7/11/2016,5.2,3056,4,2,2,323,,,Moreland,-37.7637,144.9565,Northern Metropolitan,11918
81,Brunswick,2 Sheffield St,3,House,house with 3,990000,S,Nelson,7/11/2016,5.2,3056,3,1,2,410,,,Moreland,-37.7604,144.9514,Northern Metropolitan,11918
82,Brunswick,129 Albion St,4,House,house with 4,1115000,PI,Jellis,8/10/2016,5.2,3056,4,1,0,264,139,1900,Moreland,-37.7611,144.9677,Northern Metropolitan,11918
83,Brunswick,39 Eveline St,3,House,house with 3,1125000,S,Jellis,8/10/2016,5.2,3056,3,1,1,278,91,1910,Moreland,-37.7701,144.9633,Northern Metropolitan,11918
84,Brunswick,28 Osborne St,3,House,house with 3,855000,S,Nelson,8/10/2016,5.2,3056,3,1,1,229,97,1930,Moreland,-37.7622,144.9586,Northern Metropolitan,11918
85,Brunswick,78 Stewart St,3,House,house with 2,910000,S,Jellis,8/10/2016,5.2,3056,2,1,1,215,,,Moreland,-37.7642,144.9688,Northern Metropolitan,11918
86,Brunswick,16 Thistle St,3,Townhouse,townhouse with 3,940000,S,Ray,8/10/2016,5.2,3056,3,2,1,186,140,2016,Moreland,-37.7581,144.9514,Northern Metropolitan,11918
87,Brunswick,28 Blair St,2,House,house with 2,1100000,S,Nelson,10/09/2016,5.2,3056,2,1,0,153,,1900,Moreland,-37.7705,144.9647,Northern Metropolitan,11918
88,Brunswick,3/38 Charles St,2,Townhouse,townhouse with 2,750000,PI,Nelson,10/09/2016,5.2,3056,2,2,1,118,88,2013,Moreland,-37.7723,144.9643,Northern Metropolitan,11918
89,Brunswick,73 Davies St,2,House,house with 2,1056000,S,Nelson,10/09/2016,5.2,3056,2,1,1,315,108,1910,Moreland,-37.757,144.9697,Northern Metropolitan,11918
90,Brunswick,7/117 Albion St,2,Townhouse,townhouse with 2,620000,S,Harrington,10/12/2016,5.2,3056,2,2,1,72,2,,Moreland,-37.7609,144.969,Northern Metropolitan,11918
91,Brunswick,3/5 Evans St,3,Unit,unit with 3,880000,S,Dingle,10/12/2016,5.2,3056,3,2,1,122,152,2000,Moreland,-37.7697,144.9649,Northern Metropolitan,11918
92,Brunswick,5 MacKenzie St,3,House,house with 3,1222500,S,Nelson,10/12/2016,5.2,3056,3,1,0,331,126,1890,Moreland,-37.7619,144.959,Northern Metropolitan,11918
93,Brunswick,3A Austin Tce,3,House,house with 3,810000,PI,Rendina,11/02/2017,5.2,3056,3,2,3,177,,,Moreland,-37.7609,144.9677,Northern Metropolitan,11918
94,Brunswick,61 Evans St,2,House,house with 2,1105000,S,Nelson,11/02/2017,5.2,3056,2,1,1,147,,,Moreland,-37.7702,144.9692,Northern Metropolitan,11918
95,Brunswick,136 Hope St,2,House,house with 2,1260000,S,Jellis,11/02/2017,5.2,3056,2,1,1,385,,1925,Moreland,-37.7631,144.9534,Northern Metropolitan,11918
96,Brunswick,87 Hope St,3,Townhouse,townhouse with 3,955000,S,Nelson,11/02/2017,5.2,3056,3,2,2,327,110,2007,Moreland,-37.7636,144.9559,Northern Metropolitan,11918
97,Brunswick,94 Lydia St,1,Townhouse,townhouse with 1,895000,S,Nelson,11/02/2017,5.2,3056,1,1,0,0,,,Moreland,-37.7717,144.9679,Northern Metropolitan,11918
98,Brunswick,443 Albert St,2,House,house with 2,1094000,S,Nelson,11/03/2017,5.2,3056,2,1,2,301,,,Moreland,-37.7672,144.9496,Northern Metropolitan,11918
99,Brunswick,391 Brunswick Rd,3,House,house with 3,1135000,S,Barry,11/03/2017,5.2,3056,3,1,1,438,,,Moreland,-37.7758,144.9508,Northern Metropolitan,11918
100,Brunswick,332 Albion St,2,House,house with 2,792000,S,Nelson,12/11/2016,5.2,3056,2,1,1,149,,,Moreland,-37.7597,144.9528,Northern Metropolitan,11918
101,Brunswick,1/32 Donald St,2,Unit,unit with 2,587000,SP,Jellis,12/11/2016,5.2,3056,2,1,1,114,65,1970,Moreland,-37.758,144.9667,Northern Metropolitan,11918
102,Brunswick,98 Evans St,3,House,house with 3,1060000,S,Nelson,12/11/2016,5.2,3056,3,1,0,257,121,1935,Moreland,-37.7704,144.9695,Northern Metropolitan,11918
103,Brunswick,144A Glenlyon Rd,2,House,house with 2,840000,S,Jellis,12/11/2016,5.2,3056,2,1,1,186,,,Moreland,-37.7727,144.9707,Northern Metropolitan,11918
104,Brunswick,246 Victoria St,2,House,house with 2,890000,S,Jellis,12/11/2016,5.2,3056,2,1,1,199,93,1900,Moreland,-37.7676,144.9659,Northern Metropolitan,11918
105,Brunswick,190 Barkly St,4,House,house with 4,1358000,S,Nelson,13/08/2016,5.2,3056,4,1,1,416,,,Moreland,-37.7769,144.9661,Northern Metropolitan,11918
106,Brunswick,7 Barrow St,3,House,house with 2,840000,VB,Brad,13/08/2016,5.2,3056,2,1,0,209,,,Moreland,-37.7624,144.9692,Northern Metropolitan,11918
107,Brunswick,2/12 Jones St,2,Townhouse,townhouse with 2,685000,SP,Jellis,13/08/2016,5.2,3056,2,2,1,0,100,2002,Moreland,-37.7617,144.9642,Northern Metropolitan,11918
108,Brunswick,6/837 Park St,2,Unit,unit with 2,600000,S,Woodards,13/08/2016,5.2,3056,2,1,1,768,,1970,Moreland,-37.7768,144.9512,Northern Metropolitan,11918
109,Brunswick,74 Davies St,3,House,house with 3,905000,S,Nelson,14/05/2016,5.2,3056,3,1,1,314,,,Moreland,-37.7573,144.97,Northern Metropolitan,11918
110,Brunswick,14 Murdock St,3,House,house with 3,976000,S,Jellis,14/05/2016,5.2,3056,3,2,1,240,162,2005,Moreland,-37.756,144.9587,Northern Metropolitan,11918
111,Brunswick,8/2 Pottery Ct,3,Townhouse,townhouse with 3,641000,SP,RW,14/05/2016,5.2,3056,3,2,1,0,112,1900,Moreland,-37.7703,144.9533,Northern Metropolitan,11918
112,Brunswick,157 Albion St,2,House,house with 2,770000,S,Nelson,15/10/2016,5.2,3056,2,1,0,152,87,1910,Moreland,-37.7611,144.966,Northern Metropolitan,11918
113,Brunswick,6/305 Albion St,1,Unit,unit with 1,279500,S,Walshe,15/10/2016,5.2,3056,1,1,1,0,51,1970,Moreland,-37.7597,144.9548,Northern Metropolitan,11918
114,Brunswick,177 Barkly St,4,House,house with 4,1800000,VB,Nelson,15/10/2016,5.2,3056,4,2,3,271,180,1900,Moreland,-37.7769,144.9691,Northern Metropolitan,11918
115,Brunswick,30 Charles St,4,House,house with 4,1350000,S,Nelson,15/10/2016,5.2,3056,4,1,1,370,151,1940,Moreland,-37.7728,144.9639,Northern Metropolitan,11918
116,Brunswick,113 Glenlyon Rd,4,House,house with 4,1320000,S,Nelson,15/10/2016,5.2,3056,4,2,1,281,156,1920,Moreland,-37.7722,144.9681,Northern Metropolitan,11918
117,Brunswick,311 Albion St,3,House,house with 3,825000,S,Nelson,16/04/2016,5.2,3056,3,1,1,210,130,1900,Moreland,-37.7597,144.9545,Northern Metropolitan,11918
118,Brunswick,46 Cassels Rd,2,House,house with 3,860000,S,Nelson,16/04/2016,5.2,3056,3,1,2,352,,1900,Moreland,-37.7566,144.9599,Northern Metropolitan,11918
119,Brunswick,50 Davies St,2,House,house with 2,830000,S,Nelson,16/04/2016,5.2,3056,2,1,1,319,,,Moreland,-37.7572,144.9686,Northern Metropolitan,11918
120,Brunswick,58 Donald St,2,House,house with 2,936000,S,Nelson,16/04/2016,5.2,3056,2,1,2,200,,,Moreland,-37.7581,144.9678,Northern Metropolitan,11918
121,Brunswick,175 Edward St,3,House,house with 2,1261000,S,Nelson,16/04/2016,5.2,3056,2,1,1,216,100,1910,Moreland,-37.7746,144.9697,Northern Metropolitan,11918
122,Brunswick,84 Stewart St,3,House,house with 3,1045000,S,Jellis,16/04/2016,5.2,3056,3,1,2,222,105,1890,Moreland,-37.7642,144.969,Northern Metropolitan,11918
123,Brunswick,215/1 Dods St,3,Unit,unit with 3,1044000,S,Jellis,16/07/2016,5.2,3056,3,1,1,0,85,2000,Moreland,-37.773,144.9624,Northern Metropolitan,11918
124,Brunswick,154 Brunswick Rd,3,House,house with 3,1050000,SP,Nelson,17/09/2016,5.2,3056,3,1,1,239,126,1910,Moreland,-37.7776,144.963,Northern Metropolitan,11918
125,Brunswick,2 Chambers St,3,House,house with 3,1691500,S,Nelson,17/09/2016,5.2,3056,3,2,3,470,152,1920,Moreland,-37.7788,144.9688,Northern Metropolitan,11918
126,Brunswick,54 Davies St,2,House,house with 2,1075000,PI,Jellis,17/09/2016,5.2,3056,2,1,0,311,108,1930,Moreland,-37.7572,144.9687,Northern Metropolitan,11918
127,Brunswick,2/1 Sturrock St,2,Unit,unit with 2,620000,S,Brad,17/09/2016,5.2,3056,2,1,1,135,,1975,Moreland,-37.7583,144.9756,Northern Metropolitan,11918
128,Brunswick,23/10 Breese St,2,Unit,unit with 2,501000,S,Nelson,18/03/2017,5.2,3056,2,1,1,1140,80,2010,Moreland,-37.7634,144.9616,Northern Metropolitan,11918
129,Brunswick,393A Brunswick Rd,3,House,house with 3,1260000,S,Rendina,18/03/2017,5.2,3056,3,1,6,563,98,1960,Moreland,-37.7757,144.9505,Northern Metropolitan,11918
130,Brunswick,52 Evans St,3,House,house with 3,1650000,S,Nelson,18/03/2017,5.2,3056,3,1,2,495,141,1920,Moreland,-37.7702,144.9672,Northern Metropolitan,11918
131,Brunswick,8/705 Park St,2,Unit,unit with 2,601000,S,Brad,18/03/2017,5.2,3056,2,1,1,0,57,1970,Moreland,-37.7778,144.9594,Northern Metropolitan,11918
132,Brunswick,32 Rose St,1,House,house with 1,800000,PI,Walshe,18/03/2017,5.2,3056,1,1,4,330,,,Moreland,-37.7577,144.9524,Northern Metropolitan,11918
133,Brunswick,17 Sutherland St,2,House,house with 2,1015000,S,Nelson,18/03/2017,5.2,3056,2,1,0,453,86,1920,Moreland,-37.762,144.9547,Northern Metropolitan,11918
134,Brunswick,3 Ballarat St,1,Townhouse,townhouse with 1,625000,PI,Jellis,18/06/2016,5.2,3056,1,1,1,82,114,1930,Moreland,-37.7661,144.9614,Northern Metropolitan,11918
135,Brunswick,5 Black St,3,House,house with 3,1700000,S,Collins,18/06/2016,5.2,3056,3,2,1,0,195,1945,Moreland,-37.7763,144.9597,Northern Metropolitan,11918
136,Brunswick,77 Brickworks Dr,3,Townhouse,townhouse with 3,815000,S,Nelson,18/06/2016,5.2,3056,3,2,1,99,142,,Moreland,-37.769,144.953,Northern Metropolitan,11918
137,Brunswick,11/68 De Carle St,2,Unit,unit with 2,435000,SP,Jellis,18/06/2016,5.2,3056,2,1,1,0,57,1973,Moreland,-37.7597,144.9655,Northern Metropolitan,11918
138,Brunswick,68 Henkel St,2,House,house with 2,890000,S,Jellis,18/06/2016,5.2,3056,2,1,1,259,,,Moreland,-37.7653,144.9565,Northern Metropolitan,11918
139,Brunswick,144 Union St,3,House,house with 3,1815000,S,Nelson,18/06/2016,5.2,3056,3,1,3,612,,,Moreland,-37.773,144.952,Northern Metropolitan,11918
140,Brunswick,222 Barkly St,5,House,house with 5,2500000,S,Jellis,19/11/2016,5.2,3056,5,2,2,555,266,1890,Moreland,-37.7767,144.9645,Northern Metropolitan,11918
141,Brunswick,105 Dawson St,2,House,house with 2,860000,PI,Jellis,19/11/2016,5.2,3056,2,1,1,298,88,1910,Moreland,-37.7704,144.9504,Northern Metropolitan,11918
142,Brunswick,10/66 De Carle St,2,Unit,unit with 2,491000,S,Jellis,19/11/2016,5.2,3056,2,1,1,1080,66,1960,Moreland,-37.7598,144.9655,Northern Metropolitan,11918
143,Brunswick,64 Henkel St,3,House,house with 3,990000,S,Nelson,19/11/2016,5.2,3056,3,2,1,194,,,Moreland,-37.7653,144.9567,Northern Metropolitan,11918
144,Brunswick,15/11 Aberdeen St,2,Unit,unit with 2,350000,S,hockingstuart,22/05/2016,5.2,3056,2,1,1,0,,,Moreland,-37.7671,144.9702,Northern Metropolitan,11918
145,Brunswick,35 Charles St,2,House,house with 2,871000,S,Jellis,22/05/2016,5.2,3056,2,1,1,215,,1880,Moreland,-37.7722,144.9637,Northern Metropolitan,11918
146,Brunswick,5 Hanover St,3,House,house with 3,985000,S,Jellis,22/05/2016,5.2,3056,3,1,2,384,89,1940,Moreland,-37.7626,144.9535,Northern Metropolitan,11918
147,Brunswick,64 Hanover St,3,House,house with 3,1250000,S,Ray,22/05/2016,5.2,3056,3,1,1,483,162,1890,Moreland,-37.7602,144.9543,Northern Metropolitan,11918
